;Siachen Glacier (frozen);Nagorno-Karabakh (frozen);Mongolia (frozen);India (frozen);Nepal (frozen);Philippines (frozen)
2000-01-01;136,578658;95,040059;102,861034;127,714597;138,4557;105,438156
2000-02-01;137,575367;97,112168;103,275874;129,427035;137,20367;104,348779
2000-03-01;137,775477;99,023811;103,791374;131,304435;136,496173;104,034323
2000-04-01;137,831979;98,751003;99,448456;131,222172;140,031846;105,775952
2000-05-01;136,189135;99,176427;98,462679;130,853057;142,001699;107,095807
2000-06-01;135,626764;99,837152;97,233805;130,371273;144,264722;107,379403
2000-07-01;136,184024;100,801645;98,388964;130,483905;142,188522;107,643674
2000-08-01;137,059103;100,712044;97,98393;130,007161;140,591952;108,206805
2000-09-01;137,741889;101,447559;98,087129;129,44297;139,981987;109,499703
2000-10-01;136,777927;102,300131;95,341892;129,453286;141,064399;111,298516
2000-11-01;135,800366;103,159953;99,455223;127,428903;141,571407;112,388111
2000-12-01;135,204458;104,42533;101,807212;125,962078;138,483184;112,392249
2001-01-01;135,149129;105,620248;102,965108;125,702555;136,94826;111,613676
2001-02-01;134,864159;105,676292;103,165426;125,201796;136,572388;111,30098
2001-03-01;132,576156;105,556632;103,847832;123,991399;135,533284;112,046949
2001-04-01;131,310843;105,893992;103,35702;124,051085;137,001313;112,263985
2001-05-01;132,2692;106,640895;105,686347;124,0935;135,873564;110,547946
2001-06-01;134,132709;107,110929;103,185712;123,090897;136,616955;108,887804
2001-07-01;134,543738;106,758191;101,050096;122,42741;137,651469;109,040473
2001-08-01;131,81765;106,655216;98,455082;122,788;139,08543;109,536537
2001-09-01;130,598782;107,112501;100,091122;123,221327;139,613908;110,269955
2001-10-01;132,258358;106,948745;100,649972;121,866338;140,825306;109,209129
2001-11-01;133,57447;107,375326;101,915032;120,988747;143,167869;107,600801
2001-12-01;131,337928;107,646341;101,384791;122,077238;143,430504;106,02692
2002-01-01;128,916093;108,485597;101,338341;123,66553;143,75985;105,667059
2002-02-01;131,299325;108,797131;102,474141;123,32361;144,056637;106,32343
2002-03-01;134,160857;109,068723;105,419427;122,100597;143,07975;104,870196
2002-04-01;134,598645;109,65251;104,036611;121,590175;141,750645;103,262905
2002-05-01;133,219352;112,019266;103,96523;122,531901;138,925066;103,85522
2002-06-01;131,727547;111,892731;104,546942;123,225045;141,37848;104,641849
2002-07-01;130,899336;109,572339;105,706981;122,717275;142,208905;104,963069
2002-08-01;130,941355;108,62308;104,918941;122,17011;141,20978;104,476793
2002-09-01;131,288479;109,217168;105,812305;123,1003;141,535248;103,596229
2002-10-01;130,80659;109,83524;104,889148;124,691718;140,388494;103,799689
2002-11-01;130,292451;110,125481;103,822522;123,7079;139,026216;104,71973
2002-12-01;131,320905;108,140002;102,7136;122,168757;137,585317;104,871498
2003-01-01;131,875677;107,600928;104,3363;121,942566;137,249165;104,510655
